DateTime,temp,wx_phrase,dewPt,heat_index,rh,pressure,vis,wc,wdir_cardinal,wspd,uv_desc,feels_like,uv_index,clds
2024-07-11 00:00:00,81.66,7,76.13,87.21,89.13,29.82,5.75,81.66,13,7.42,2,87.21,0.43,2
2024-07-11 00:30:00,81.32,5,76.09,87.02,87.76,29.8,5.93,81.32,13,6.64,2,87.02,0.4,2
2024-07-11 01:00:00,81.31,5,76.13,87.08,87.86,29.79,5.83,81.31,12,6.31,2,87.08,0.31,2
2024-07-11 01:30:00,81.04,5,76.15,86.67,87.63,29.79,5.93,81.04,12,5.95,2,86.67,0.34,2
2024-07-11 02:00:00,80.82,5,76.04,86.19,87.22,29.78,5.85,80.82,12,5.93,2,86.19,0.23,2
2024-07-11 02:30:00,80.4,4,76.1,85.52,89.22,29.77,5.79,80.4,11,5.86,2,85.52,0.13,2
2024-07-11 03:00:00,80.0,5,76.26,85.17,90.18,29.76,5.61,80.0,11,5.35,2,85.17,0.03,2
2024-07-11 03:30:00,79.74,4,76.17,84.47,90.45,29.76,5.59,79.74,10,4.93,1,84.47,0.04,2
2024-07-11 04:00:00,79.36,4,76.24,84.13,90.41,29.75,5.65,79.36,10,4.21,2,84.13,0.07,1
2024-07-11 04:30:00,79.58,4,76.32,84.49,89.9,29.75,5.51,79.58,12,4.41,2,84.49,0.02,2
2024-07-11 05:00:00,79.49,4,76.34,84.33,90.35,29.76,5.58,79.49,12,4.28,2,84.33,0.06,2
2024-07-11 05:30:00,79.29,4,76.21,83.87,90.06,29.76,5.56,79.29,11,4.56,1,83.87,0.02,2
2024-07-11 06:00:00,80.02,5,76.29,85.17,88.93,29.76,5.25,80.02,11,4.64,2,85.17,0.39,1
2024-07-11 06:30:00,80.43,4,76.47,86.38,88.55,29.76,5.22,80.43,12,4.7,2,86.38,0.63,2
2024-07-11 07:00:00,80.83,5,76.71,87.21,88.23,29.76,5.45,80.83,11,4.11,2,87.21,1.3,2
2024-07-11 07:30:00,81.44,5,76.8,88.43,86.55,29.77,5.72,81.44,11,4.11,2,88.43,1.65,2
2024-07-11 08:00:00,82.17,6,76.8,89.81,84.73,29.77,5.78,82.17,12,4.54,2,89.81,2.45,2
2024-07-11 08:30:00,83.0,6,76.68,91.35,81.67,29.78,5.81,83.0,13,5.06,2,91.35,3.19,2
