DateTime,temp,wx_phrase,dewPt,heat_index,rh,pressure,vis,wc,wdir_cardinal,wspd,uv_desc,feels_like,uv_index,clds
2024-07-11 00:00:00,80.83,2,75.37,86.81,81.17,29.75,5.91,80.83,15,5.42,2,86.81,-1.07,1
2024-07-11 00:30:00,81.33,2,75.01,87.91,81.59,29.75,5.73,81.33,14,4.56,2,87.91,-0.03,1
2024-07-11 01:00:00,81.53,3,75.27,88.46,82.32,29.75,5.62,81.53,14,4.45,2,88.46,0.17,1
2024-07-11 01:30:00,81.69,2,75.27,88.39,80.94,29.75,5.41,81.69,14,4.25,2,88.39,-0.04,0
2024-07-11 02:00:00,81.45,3,75.22,87.97,81.57,29.75,5.37,81.45,13,3.8,2,87.97,0.2,1
2024-07-11 02:30:00,81.48,3,75.1,87.96,81.62,29.76,5.32,81.48,13,3.68,1,87.96,0.64,1
2024-07-11 03:00:00,81.87,4,75.35,89.26,80.94,29.76,5.21,81.87,13,3.52,1,89.26,1.14,1
2024-07-11 03:30:00,82.31,5,75.25,89.94,79.89,29.77,5.17,82.31,12,3.83,1,89.94,1.5,1
2024-07-11 04:00:00,83.5,4,75.21,91.9,77.38,29.77,5.35,83.5,12,4.07,2,91.9,2.4,1
2024-07-11 04:30:00,84.23,3,75.07,92.61,75.4,29.78,5.49,84.23,12,4.31,2,92.61,3.03,1
2024-07-11 05:00:00,84.89,5,75.09,93.45,74.11,29.78,5.62,84.89,12,4.83,1,93.45,3.64,1
2024-07-11 05:30:00,85.67,5,75.29,94.82,72.43,29.79,5.57,85.67,12,4.93,2,94.82,4.09,1
2024-07-11 06:00:00,86.16,5,75.59,95.84,70.75,29.79,5.66,86.16,12,5.16,2,95.84,4.23,1
2024-07-11 06:30:00,87.24,6,75.38,97.52,69.97,29.78,5.7,87.24,12,5.65,2,97.52,5.23,1
2024-07-11 07:00:00,88.06,6,75.42,99.15,68.36,29.77,5.86,88.06,13,6.63,2,99.15,6.13,1
2024-07-11 07:30:00,88.66,6,75.35,99.86,66.33,29.77,5.89,88.66,13,7.83,2,99.86,6.58,2
2024-07-11 08:00:00,89.37,6,75.66,100.92,64.65,29.77,5.8,89.37,13,8.37,2,100.92,6.88,2
2024-07-11 08:30:00,89.65,7,75.62,101.14,63.74,29.75,5.85,89.65,13,8.41,2,101.14,7.19,2
2024-07-11 09:00:00,89.88,7,75.63,101.75,63.38,29.75,5.85,89.88,12,9.24,2,101.75,6.99,2
2024-07-11 09:30:00,89.68,8,75.58,101.44,63.11,29.74,5.78,89.68,13,9.71,2,101.44,6.26,2
2024-07-11 10:00:00,89.81,7,75.35,101.33,62.44,29.72,5.83,89.81,13,9.5,2,101.33,5.91,1
2024-07-11 10:30:00,89.82,6,75.21,101.04,61.61,29.72,5.86,89.82,12,9.57,2,101.04,5.16,1
2024-07-11 11:00:00,90.02,6,75.43,101.71,61.67,29.71,5.92,90.02,12,9.76,2,101.71,4.39,1
2024-07-11 11:30:00,89.55,6,75.19,100.47,62.17,29.71,5.92,89.55,12,10.13,2,100.47,3.79,1
2024-07-11 12:00:00,89.8,5,75.22,101.05,62.28,29.7,5.89,89.8,12,9.93,2,101.05,3.35,1
2024-07-11 12:30:00,89.44,4,75.32,100.52,62.95,29.7,5.99,89.44,12,9.23,2,100.52,2.41,1
2024-07-11 13:00:00,89.21,4,75.06,100.0,63.99,29.7,6.11,89.21,12,9.2,2,100.0,1.98,1
2024-07-11 13:30:00,88.4,4,75.11,99.0,66.34,29.71,5.98,88.4,11,9.24,2,99.0,1.42,1
2024-07-11 14:00:00,87.56,4,75.42,98.24,67.42,29.72,5.93,87.56,12,9.34,2,98.24,0.7,1
2024-07-11 14:30:00,86.19,4,75.03,95.5,69.38,29.73,5.7,86.19,12,8.65,1,95.5,0.04,1
2024-07-11 15:00:00,84.79,4,75.46,93.17,71.84,29.74,5.44,84.79,11,7.98,1,93.17,-0.78,1
2024-07-11 15:30:00,84.27,3,75.2,92.47,73.0,29.74,5.65,84.27,12,7.7,1,92.47,-0.43,1
2024-07-11 16:00:00,83.73,3,75.33,92.45,75.49,29.75,5.76,83.73,12,7.9,1,92.45,-0.29,1
2024-07-11 16:30:00,83.56,2,75.24,91.66,75.75,29.76,5.55,83.56,13,6.93,1,91.66,-0.38,1
2024-07-11 17:00:00,83.2,3,75.05,90.83,76.07,29.76,5.79,83.2,13,6.68,1,90.83,-0.42,1
2024-07-11 17:30:00,83.2,3,75.38,91.34,76.64,29.77,5.74,83.2,13,6.97,1,91.34,-0.3,1
2024-07-11 18:00:00,82.77,3,75.2,90.97,78.54,29.77,5.84,82.77,13,7.13,1,90.97,0.01,1
2024-07-11 18:30:00,82.34,3,75.2,90.18,80.11,29.77,5.83,82.34,13,6.77,1,90.18,0.14,1
2024-07-11 19:00:00,82.3,3,75.28,89.93,80.28,29.77,5.83,82.3,12,6.99,1,89.93,-0.17,1
2024-07-11 19:30:00,82.74,3,75.45,90.75,79.61,29.77,5.98,82.74,12,6.78,2,90.75,0.15,1
2024-07-11 20:00:00,82.44,3,75.47,90.56,80.96,29.76,5.93,82.44,13,6.96,2,90.56,0.38,1
2024-07-11 20:30:00,82.41,3,75.67,90.22,81.61,29.77,5.84,82.41,12,6.43,1,90.22,0.46,1
2024-07-11 21:00:00,82.52,3,75.88,90.13,80.64,29.77,5.89,82.52,13,6.07,2,90.13,0.13,1
2024-07-11 21:30:00,82.8,2,76.05,90.69,80.54,29.76,6.02,82.8,12,6.21,1,90.69,0.42,1
2024-07-11 22:00:00,82.17,3,76.08,89.67,81.5,29.76,5.92,82.17,13,5.77,2,89.67,0.22,1
2024-07-11 22:30:00,81.95,3,76.22,89.66,82.24,29.76,5.81,81.95,12,5.5,2,89.66,0.17,1
2024-07-11 23:00:00,81.64,3,76.5,89.16,82.62,29.76,5.67,81.64,13,4.58,2,89.16,-0.16,1
2024-07-11 23:30:00,81.46,3,76.3,88.91,83.25,29.76,5.61,81.46,14,4.35,2,88.91,-0.17,1
2024-07-12 00:00:00,81.23,4,76.11,88.59,83.65,29.75,5.51,81.23,14,4.41,1,88.59,-0.11,1
2024-07-12 00:30:00,81.26,3,76.21,88.46,83.24,29.75,5.43,81.26,14,4.47,2,88.46,-0.2,1
2024-07-12 01:00:00,80.81,4,76.49,87.7,83.79,29.75,5.41,80.81,13,4.07,2,87.7,-0.46,1
2024-07-12 01:30:00,81.03,3,76.26,88.28,84.75,29.75,5.25,81.03,13,3.97,2,88.28,0.04,1
2024-07-12 02:00:00,81.02,3,76.15,87.78,84.48,29.75,5.06,81.02,12,3.96,2,87.78,0.2,1
2024-07-12 02:30:00,80.98,4,75.91,87.21,84.39,29.76,4.97,80.98,12,3.86,2,87.21,0.39,1
2024-07-12 03:00:00,81.26,4,76.23,88.18,84.29,29.76,4.91,81.26,12,3.9,2,88.18,0.78,1
